,date,flyer,lead,headline,body,url
0,"
Martes 22 de diciembre", AJUSTE PREVISIONAL,"Cambian los gobiernos pero una constante se mantiene: el ajuste a las jubilaciones. Esta vez el Frente de Todos avanza en la aprobación de la nueva fórmula de movilidad. El fin: aumentar el “ahorro” fiscal para pagar la deuda al FMI. Sólo el FIT-U rechaza el ajuste a las jubilaciones, y hoy realizará un acto en las inmediaciones del Congreso.","De Menem a Alberto, ¿por qué no se discute la miseria de las jubilaciones?","Desde hace décadas las jubilaciones se transformaron en una variable de ajuste, a la que recurren distintos gobiernos, sean peronistas, radicales o sus variantes de coalición. Para meter la mano en los recursos del gasto previsional no hay grieta.A pocos días de consumarse un nuevo robo sobre los jubilados y jubiladas impulsado por Alberto Fernández, con el cambio en el cálculo de la movilidad que según estimaciones de la consultora Ecolatina le permitiría al Estado un ajuste del orden del 1 % del Producto Bruto Interno (PBI) en el año 2021 o $400.000 millones. El Frente de Izquierda es la única fuerza política que realizará un acto para rechazar estas medidas de ajuste brutal.A continuación repasamos las principales modificaciones y cambiaos previsionales aplicados desde el menemismo hasta la actualidad.*Menemismo privatizador: la avanzada del plan neoliberal en los 90’ incluyó la instauración del sistema de capitalización para jubilaciones y pensiones, dando vía libre al lucro de las aseguradoras privadas con los aportes de los trabajadores.Además de la llegada de las AFJP, Cavallo benefició a las patronales con una rebaja de las contribuciones patronales que en 1994 eran del 33%. Esta medida que desfinancia el sistema de reparto, no fue cuestionada por ninguno de los gobiernos que continuaron. Cavallo sostuvo que con esta rebaja en la presión fiscal, se buscaba impulsar el empleo. Nada de eso sucedió, mientras las patronales se beneficiaban y las AFJP apostaban los aportes de los jubilados en la timba financiera, con la crisis de 2001 quedó expuesto que la desocupación alcanzó los niveles récord.
Durante el régimen de Convertibilidad ($1 igual a un USD1) no había indexación de haberes ni de salarios. Los niveles de las jubilaciones eran bajísimo, las históricas movilizaciones de los días miércoles son muestra de ello.Fotografía: Mar Ned-Enfoque RojoAl calor de la crisis de deuda y el deterioro social, bajo el Gobierno de la Alianza los haberes jubilatorios siguieron sufriendo duros recortes. Mientras las leyes de flexibilización laboral menemista aumentaban el empleo informal, sin aportes, y el desempleo aumentaba. En julio de 2001 por decreto se anunciaba un recorte de 13% a quienes cobren haberes por superiores a $ 564: “el recorte en los haberes previsionales afectará a 533.401 jubilados, que representan al 16% del total de la clase pasiva del país. Así lo establece el decreto 926 que dio a conocer ayer el Gobierno, y que prevé un ahorro de 68,6 millones de pesos sólo en este sector”, sostenía una nota del diario La Nación.Te puede interesar: Jubilados devaluados: de Menem a Macri, cómo llegan a 2019*El fin de las AFJP y la movilidad previsional: en 2008 bajo el kirchnerismo se reestatizaron los fondos de jubilaciones y pensiones. Lo que muchos festejaron como una medida que ponía fin al negociado de las aseguradoras privadas, escondía otros motivos. Uno de ellos, la necesidad de hacerse de fondos que tenía el Gobierno, en el medio de los coletazos de la crisis financiera internacional de 2008. El Estado pasaba a disponer de casi 24.000 millones de dólares que estaban en manos de las AFJP, y que el kirchnerismo necesitaba principalmente para hacer frente a vencimientos de deuda por una suma similar.Por el lado de los haberes, se estableció en 2008 por Ley 26.417 la movilidad jubilatoria, una fórmula de actualización automática. La misma definía dos incrementos al año (marzo y septiembre), tanto de las jubilaciones como de las pensiones, las asignaciones familiares, las asignaciones por hijo (AUH).La movilidad reconocía un problema estructural, que ante la suba de precios los haberes perdían poder de compra, pero aun así esta actualización resultó totalmente insuficiente para mejorar los ingresos jubilatorios. Menos aún se logró recuperar parte de lo perdido desde la devaluación de 2002, que hundió un 30 % el poder de compra de los salarios, afectando también los haberes por el encarecimiento del costo de vida.Podés leer: ¿Qué es la movilidad jubilatoria?Algo no menor, es que bajo los gobiernos kirchneristas la ANSES abrió moratorias previsionales que permitieron la incorporación de 3 millones de personas que no contaban con aportes suficientes, en su mayoría mujeres. Accedieron a la jubilación mínima, que hoy alcanza a cerca del 63% de las jubilaciones y pensiones, achatando la pirámide previsional. Al mismo tiempo, se vetó el proyecto de 82 % móvil, desconociendo una demanda histórica de los jubilados. El motivo no sorprende, argumentan que la no había fondos suficientes.Hace 3 años atrás, en diciembre de 2017, el macrismo aplicaba un cambio en la fórmula de movilidad con la que pretendían “ahorrarse” hasta $100.000 millones. Las masivas movilizaciones contra tal ajuste expresaban la bronca en las calles de quienes se solidarizaban con los jubilados y jubiladas.Te puede interesar: A 3 años de la reforma previsional macrista, el Gobierno va por un nuevo saqueo a los jubiladosAl asumir Alberto Fernández, suspendió la movilidad vigente y otorgó aumentos por decreto. El resultado fue que a diferencia de sus promesas de campaña electoral, entre los jubilados y los bancos, no eligió a los jubilados. Mientras la banca ganó aun en plena pandemia $450 millones de pesos por día, el Gobierno se ahorró $100.000 millones aumentando menos las jubilaciones. ¿Por qué lo hizo? Sencillamente para pagar menos, por primera vez las subas iban a ser acordes con la inflación. Las subas totales de este año debían ser de un 42,1%, pero los aumentos por decreto fueron en suma de entre 24%  hasta 35,1%. Todas las categorías perdieron frente a la suba del  nivel general de precios estimado en 37%.Hagamos un cálculo: si las jubilaciones mínimas tuvieran que recuperar el poder adquisitivo que tenían a comienzos del macrismo, hoy rondarían los 24 mil pesos. Es decir, en estos últimos cinco años perdieron mes a mes una suma de 215 mil pesos. Un robo.Para el Defensor de la Tercera Edad, Eugenio Semino, en los últimos 3 años los haberes perdieron en promedio un 40 % del poder adquisitivo de su haber. Las jubilaciones siguen siendo de miseria y eso parece no sacarle el sueño a ningún Gobierno. Actualmente la mínima que alcanza al 63 % de las jubilaciones es apenas un tercio de la Canasta del Jubilado que se acerca a $50.000, es decir, que no llegaban a fin de mes, no podían garantizarse comprar los alimentos necesarios o medicamentos, o pagar el alquiler.Pero el deterioro en el poder de compra de los haberes es permanente. Ya en 2011 las jubilaciones mínimas cubrían el 60% de las necesidades mínimas de un jubilado. En diciembre de 2015, con una fórmula similar a la que propone el Gobierno, solo llegaban al 50% de lo que necesitaban mensualmente. Es decir, cambian las fórmulas, pero los haberes son insuficientes para garantizar una vida digna.
Las jubilaciones siguen manteniendo una baja capacidad adquisitiva, aún más baja que la fines de los `90.Ante cada ajuste, unos y  otros dicen que no hay recursos, pero al mismo tiempo avanzan en desfinanciar el sistema con el FGS, utilizado para financiar el déficit público, financiando de manera indirecta con los recursos de los jubilados los vencimientos de la deuda pública, en desmedro de mejorar sus haberes. Tampoco se revirtió la reducción menemista de las contribuciones patronales.La herencia neoliberal que aumenta el empleo informal y precario, afectando en mayor medida a jóvenes y a las mujeres, anticipan un problema que no puede esquivarse. Según datos de Dirección Nacional de Economía, Igualdad y Género, del Ministerio de Economía solo el 53,4% de las mujeres en edad próxima a la jubilación, realizó aportes. Y solo el 10,7% del total de mujeres de entre 55 y 59 años superan los 20 años de aportes y podrían efectivamente jubilarse.“Los funcionarios llaman un gasto social a las jubilaciones y pensiones porque no tienen en cuenta que es un derecho de los trabajadores que aportamos 30 o 40 años de nuestras vidas y hoy somos estafados por el Estado”, denunciaba Semino en una entrevista a La Nación+.¡Con los jubilados y jubiladas, NO! El Frente de Izquierda propone sobre la base del no pago de la deuda con el FMI, una salida para evitar el constante saqueo de las jubilaciones:* Recomposición Inmediata de los ingresos perdidos durante el gobierno de Macri y el primer año del Frente de Todos.*Que la jubilación sea igual al 82 % móvil del mejor salario en actividad para jubiladas/os y pensionadas/os. Actualmente para un trabajador en relación de dependencia que aportó toda su vida, la relación entre la jubilación y su salario es de un 60% promedio.*La jubilación mínima no puede estar por debajo de la Canasta de los Jubilados, para cubrir el costo de vida de los adultos mayores.*Para que los fondos alcancen hay que restituir las contribuciones patronales al 33 %, aplicar verdaderos impuestos progresivos a las grandes fortunas y el no pago de la fraudulenta deuda externa.Te puede interesar: Martes 22: el Frente de Izquierda moviliza al Congreso para rechazar el ajuste a los jubilados",https://www.laizquierdadiario.com/Economia/De-Menem-a-Alberto-por-que-no-se-discute-la-pobreza-de-los-jubilados
1,"
Lunes 21 de diciembre",INFORME INDEC,"Al mismo tiempo los precios mayoristas del conjunto de los ramas crecieron un 4,2 % consolidando la suba de la inflación. Los salarios cada vez alcanzan para menos y la vivienda propia se torna cada vez más inaccesible.",Se disparó el costo de la construcción: en noviembre creció más del 12 %,"La inflación no se detiene y el fin de año para la mayoría de las familias se presenta difícil de afrontar. El índice de precios mayoristas aumentó durante noviembre 4,2%, mientras que el costo de la construcción registró un incremento de 12,4%, según informó este lunes el Instituto Nacional de estadística y Censos (Indec). De esta forma, en lo que va del año, los precios mayoristas acumularon una suba del 29,7% y el costo de la construcción un aumento del 37,9% entre enero y noviembre.En medio del agravamiento de la crisis estructural habitacional que vive el país, el aumento de los precios para la realización de viviendas hace aún más difícil su solución. El factor principal que lleva hacia arriba estos costos son los materiales para construcción que acumulan un un alza del 58,5% en los primeros once meses del año. Son los empresarios productores de ladrillos, hierro, insumos plásticos y otros materiales los responsables de este grave problema.Te puede interesar: El costo de vida aumentó 37,7 % en un añoA su vez la categoría  mano de obra -que refleja la evolución del salario en el sector de la construcción- suma un incremento de sólo el 30,7% durante 2020 faltando sólo un mes para finalizar el año, contra una inflación que superará el 36%.En lo que respecta a la suba de 4,2% registrada en los precios mayoristas, los productos nacionales se incrementaron 4,1% en noviembre, mientras que los importados avanzaron 5,2% respecto a octubre. En tanto, entre los manufacturados, se destacó la suba del 13,% en muebles; del 4,1% en vehículos; 4,3% en equipos de medicina; 4,5% en metálicos básicos; 7% en derivados del caucho y el plástico; 3,35% en alimentos y bebidas; y 6,8% en productos textiles.Alberto Fernández había afirmado: “Voy a caerles con todo el peso de la ley de abastecimiento donde veamos que alguien está acaparando recursos para la construcción y está frenando la salida solo para buscar un mejor resultado” en el acto del Día de la Construcción en la planta de la empresa Loma Negra, en Olavarría. Sin embargo, y habiendo aprobado un programa de precios máximos para la construcción, la inflación en el sector no tiene freno.También podes leer: La falsa promesa de Fernández de recomponer los salarios",https://www.laizquierdadiario.com/Economia/Se-disparo-el-costo-de-la-construccion-en-noviembre-crecio-mas-del-12
2,"
Lunes 21 de diciembre",CRISIS ECONOMICA,"IRSA Propiedades Comerciales fue la más afectada. La bolsa local, el índice S&P Merval, perdió un 4,2%.","Acciones argentinas en Wall Street cayeron hasta 8,6 % por la nueva cepa de covid-19","Las acciones de empresas argentinas que cotizan en Wall Street, conocidas como ADRs, tuvieron un importante derrumbe este lunes, arrastradas por las consecuencias en los mercados globales de la aparición de nueva cepa de coronavirus de rápida propagación en el Reino Unido. Esto golpea con fuerza a la economía argentina que ya lleva tres años en retroceso y está inmersa en un ajuste aplicado por el Gobierno en busca de un acuerdo con el Fondo Monetario Internacional (FMI).Los ADRs argentinos terminaron con bajas de hasta 8,6%, lideradas por IRSA Propiedades Comerciales. Además sintieron la presión bajista los activos de Telecom Argentina (-6,2%); Supervielle (-5,9%); Cresud (-4,9%); y Pampa Energía (-4,7%).La mayor aversión al riesgo global también impactó de lleno en la plaza bursátil local, donde el índice líder S&P Merval se hundió un 4,2%, a 50.159,86 unidades, luego de llegar a caer 5,3% en el inicio de la jornada.Con las cotizaciones del dólar paralelo un 80 % por encima del dólar oficial y los bonos de deuda cotizando al 17 % de tasa de interés la presión financiera se mantiene en un punto crítico. Giros bruscos como la aparición de la nueva cepa de coronavirus en Reino Unido que podría ser hasta un 70 % más contagiosa pueden complicar aún más los planes del Gobierno.Te puede interesar: https://www.laizquierdadiario.com/Caen-las-bolsas-mundiales-y-la-libra-britanica-por-nueva-cepa-de-coronavirus",https://www.laizquierdadiario.com/Economia/Acciones-argentinas-en-Wall-Street-cayeron-hasta-8-6-por-la-nueva-cepa-de-covid-19
3,"
Lunes 21 de diciembre",TUCUMÁN,En un año más de 73.000 personas perdieron sus trabajos o dejaron de buscarlo activamente en Tucumán. Un análisis de las engañosas estadísticas oficiales.,Más de 73.000 personas fueron expulsadas del mercado de trabajo en Tucumán,"La semana pasada se publicaron los resultados del informe sobre mercado de trabajo del Indec para el tercer trimestre del año. Para el NOA la estadística arroja que Tucumán registra la tasa de desocupación más alta del NOA, 11% contra un promedio de 8,6%.Sin embargo, el Indec registra una tasa de desocupación más baja que en el primer trimestre del año, antes de la pandemia, cuando se registró un desempleo del 13,1%, y en un nivel similar al del tercer trimestre de 2019.Tomados a la ligera, estos datos podrían dar a entender que la destrucción de puestos de trabajo durante la pandemia es cosa del pasado. Sin embargo, como ya hemos señalado en otras notas, las estadísticas pueden ser engañosas.Si en vez de mirar los porcentajes, ponemos atención a la cantidad de personas, se puede observar que entre el tercer trimestre de 2019 y el tercer trimestre de 2020, la población económicamente activa (PEA), es decir, las personas que están ocupadas y las que estando desocupadas buscan empleo activamente, pasó de 428,3 mil personas a 355 mil personas.Esto significa que en un año más de 73.000 personas perdieron sus trabajos y ya no están buscando. Seguramente porque porque no consiguen. Esas 73.000 personas pasaron a formar parte de la Población Económica Inactiva (PEI).Si descomponemos esa cifra, tenemos que la población ocupada pasó de 380,6 mil a 315 mil personas. Es decir, en un año se destruyeron más de 65.000 puestos de trabajo. Mientras que los desocupados pasan de 47,6 mil a 39 mil personas.¿Cómo se explica que en el mismo lapso caiga el empleo y el desempleo? La razón de este movimiento aparentemente contradictorio que el desempleo cae porque más de 8000 desocupados dejaron de buscar trabajo y pasaron a formar parte de la PEI.Como el desempleo se mide en proporción a la PEA, una lectura superficial podría dar a entender que el desempleo está cayendo y que la destrucción de empleos durante la pandemia habría quedado superada. Sin embargo, la actividad y la ocupación siguen más de 15 puntos abajo respecto al mismo período del año pasado.Si la comparación la hacemos respecto del primer trimestre del año, se observa que durante la pandemia más de 45.000 personas fueron expulsadas del mercado de trabajo. Descomponiendo la cifra vemos que en este periodo se destruyeron 32.000 puestos de trabajo y junto a unos 13.000 desocupados pasaron todos a engrosar las filas de la población inactiva.",https://www.laizquierdadiario.com/Economia/Mas-de-73-000-personas-fueron-expulsadas-del-mercado-de-trabajo-en-Tucuman
4,"
Lunes 21 de diciembre",CRISIS ECONOMICA,"Se trata del sector de desocupados, ocupados y subocupados que buscan empleo ante una crisis que no da tregua. Crece el sector que deja de buscar empleo y pasa a la informalidad como forma de subsistencia. ¿Cómo revertirlo?",El 55% de la clase trabajadora tiene problemas de empleo en Jujuy ,"El informe del “Mercado de Trabajo” publicado por el Indec para el tercer trimestre del año da cuenta sobre  cómo la crisis económica y los efectos de la pandemia han sido descargados sobre la clase trabajadora.Si comparamos el informe del tercer trimestre con el segundo trimestre se observa cierta mejora en el nivel de empleo, considerando que fue el momento de mayores restricciones por la pandemia. Aunque vale decir que se trata de una recuperación muy leve y que no vuelve siquiera a la situación previa a la pandemia.Por eso, cuando se lo compara con el primer trimestre del año, se observa que la población económica activa cae en 18 mil personas. De las cuales, 13 mil son ocupados y 6 mil son desocupados. O sea, hay una fuerte reducción de quienes tienen empleo y quienes no lo tienen y salen a buscarlo, desocupados –según el Indec- que abandonan la búsqueda ante la falta de posibilidades lo que se denomina “efecto desaliento”. Así el desempleo del 5,1 por ciento en el tercer trimestre bajó respecto del segundo (7% ) y primer trimestre (8,2%).De esta forma, hay más trabajadores que tienen que vivir de la informalidad laboral, changas, venta callejera o en ferias que se han multiplicado por toda la provincia. Mientras deben enfrentar la persecución policial y las multas de los municipios.Te puede interesar: Una ordenanza para perseguir a los ambulantes en San Salvador de JujuyPero no se puede culpar a la pandemia, si no que éste es el resultado de la crisis económica, profundizada por las medidas de cuarentena, que los empresarios aprovechan para despedir trabajadores (se perdieron 2.300 puestos en el sector asalariado privado registrado entre marzo y septiembre, informe SIPA) y tirar a la baja las condiciones laborales.Esto se puede corroborar, en parte, en la suba de los ocupados demandantes de empleo del 22,8 al 29% entre el segundo y tercer trimestre. Aquí los bajos salarios y la pérdida del poder de compra frente a la inflación presionan por buscar otros empleos como forma de sumar ingresos para llegar a fin de mes.En igual sentido se refleja el hecho que los subocupados demandantes, aquellos que trabajan menos de 35 horas semanales y buscan empleo, hayan pasado del 3,6% al 6,4% entre el segundo y tercer trimestre del año.",https://www.laizquierdadiario.com/Economia/El-55-de-la-clase-trabajadora-tiene-problemas-de-empleo-en-Jujuy
5,"
Domingo 20 de diciembre",POLITICA,"El dirigente nacional del PTS, Christian Castillo, fue invitado a Crónica TV, donde debatió sobre la política nacional y las medidas económicas del Gobierno, luego del acto del Frente de Todos.","Christian Castillo: “Es escandaloso cómo están actuando las grandes farmacéuticas con la vacuna"" ","Al ser consultado sobre los rumores de lo que sucederá en el Gabinete nacional, Castillo destacó que hay un “contraste importante en parte de lo que dijo la vicepresidenta y la realidad que vivimos, porque señaló que la necesidad de aumentar salarios y jubilaciones y este año el Gobierno, no por la pandemia sino por una decisión política, le sacó 100 mil millones de pesos a los jubilados, respecto a lo que hubiese correspondido con la movilidad jubilatoria si no se tocaba”.¿Por qué no unificaron el sistema de salud? Ahora la vicepresidenta dice que hay tres subsistemas, ¿Por qué no lo que hicieron en la crisis? lo planteamos el Frente de Izquierda, no estoy diciendo algo que ahora que lo digo ahora Nicolás Del Caño se reunió con todos los presidentes de los Bloques para hablar con Fernández, mes de abril, dijo primera medida; centralización del sistema de salud, elemental, porque la pandemia no terminó, entonces si ahora no avanzamos en esas medidas y en primer lugar mejorar las condiciones de trabajo y mejorar las condiciones del salario de todo el sector salud.",https://www.laizquierdadiario.com/Economia/Christian-Castillo-Es-escandaloso-como-estan-actuando-las-grandes-farmaceuticas-con-la-vacuna
6,"
Viernes 18 de diciembre",AJUSTE FISCAL ,El bloque oficialista y del PJ votó ayer un presupuesto 2021 que no recupera la pérdida salarial de este año y mantiene nuevos recortes para el año próximo. El Frente de Izquierda votó en contra y exige a los sindicatos unificar a la clase trabajadora y pelear porque nadie gane menos que la canasta familiar.,Presupuesto 2021 de Jujuy: tras su votación sigue el ajuste al salario estatal,"A partir de la aprobación del presupuesto 2021 por parte del bloque oficialista y del PJ se confirma un nuevo ataque al bolsillo de los trabajadores estatales. Esto será el resultado de dos efectos.El  primero porque no se recompone la brutal pérdida de poder adquisitivo del salario este año. Con la paritaria del 10% en dos cuotas y el bono en diciembre -por única- vez de 3 mil pesos, el salario promedio de los estatales pierde un 19% de poder de compra entre enero de este año y enero 2021 (considerando la inflación del 4,8% en noviembre en la provincia y un estimado del 3% para diciembre).El segundo porque prevé un aumento de la masa salarial para el 2021 apenas del 27%, cuando la inflación prevista por el ministro de Economía de la Nación, Martín Guzmán, es del 29% y distintas consultoras y el informe REM del BCRA indica valores muy superiores que rondan el 50%.De esta manera quienes votaron este presupuesto, decidieron aplicar un nuevo ajuste a más de 86 mil familias que reciben un ingreso por el trabajo en el Estado de alguno de sus integrantes.#inflacion 4,8% en noviembre, en #Jujuy dónde @GerardoMorales impuso paritaria del 7% en noviembre y 3% en diciembre. Hay que frenarlos con la unidad de ocupados y desocupados en las calles! pic.twitter.com/aAkWDO7QQc— Gastón Remy (@RemyGaston1) December 17, 2020Por este motivo, entre otros que hacen a los magros recursos destinados a construir viviendas, a los recortes de los fondos para salud y educación, es que desde el bloque de diputados del Frente de Izquierda lo rechazaron, tal como afirmó el diputado del PTS-FIT Alejandro Vilca en declaraciones a distintos medios.A su vez, Vilca, sostuvo que “tal como presentamos durante la emergencia sanitaria por la pandemia es necesario aplicar mayores impuestos a los grandes grupos económicos, no rebajar los ingresos brutos como se viene haciendo desde el gobierno del ex presidente Macri; a la vez, que se debe dejar de pagar la deuda con el FMI y volcar esos recursos a un plan de obras públicas bajo control de los trabajadores y así generar trabajo genuino”.Te puede interesar: Presupuesto 2021 de Jujuy: ajuste y beneficios para los mismos de siempre",https://www.laizquierdadiario.com/Economia/Presupuesto-2021-de-Jujuy-tras-su-votacion-sigue-el-ajuste-al-salario-estatal
7,"
Viernes 18 de diciembre",CONGRESO NACIONAL,Desde el lunes próximo se realizarán las reuniones en comisiones de la Cámara Baja para tratar la nueva fórmula de movilidad jubilatoria. Un nuevo saqueo a los jubilados y las jubiladas que convalida la pérdida de los últimos años.,Comienza en Diputados el debate para un nuevo ajuste a los jubilados,"A partir del lunes de la semana que viene comienza el debate en Diputados sobre la nueva fórmula de movilidad jubilatoria, que ya cuenta con aprobación del Senado. Se realizarán las reuniones conjuntas de la comisión de Presupuesto y Hacienda, y de Previsión y Seguridad Social, que conducen, respectivamente, Marcelo Casaretto y Carlos Heller.La primera comisión será el lunes 21 de diciembre a las 14 horas, y participará la Directora Ejecutiva de la Anses María Fernanda Raverta y el Ministro de Trabajo y Seguridad Social Claudio Moroni.El debate seguirá el martes 22 de diciembre y el miércoles 23 de diciembre a las 10 horas.La intención del oficialismo es sancionar la ley el próximo martes 29.La nueva fórmula convalida la pérdida de las jubilaciones de los últimos años y significa un ajuste sobre los adultos mayores.  El proyecto propone una fórmula de movilidad similar a la aplicada durante los años 2008 a 2017, y combina en un 50 % la recaudación de la Anses y en otro 50 % la variación salarial, surgida ésta última de la más alta entre las medidas por el Indec y por el Ministerio de Trabajo (índice RIPTE).La propuesta oficial se conoció en la misma semana que llegó la misión del FMI para renegociar un acuerdo. Un saqueo a los jubilados a medida de las exigencias del Fondo.El Frente de Izquierda-Unidad convoca el próximo 22 de diciembre en el Congreso a una concentración para rechazar la reforma previsional.Te puede interesar: Martes 22: el Frente de Izquierda moviliza al Congreso para rechazar el ajuste a los jubilados",https://www.laizquierdadiario.com/Economia/Comienza-en-Diputados-el-debate-para-un-nuevo-ajuste-a-los-jubilados
8,"
Jueves 17 de diciembre",¿CUÁNDO SE COBRA? ,"Según la ley 27.073 el límite para que las empresas paguen la segunda cuota del aguinaldo, es el 18 de diciembre. Las cámaras empresariales solicitaron ayuda al Gobierno para su pago. ¿Nuevo ataque al salario?",Quejas patronales por el pago del aguinaldo ,"A fin de año se cobra la segunda cuota del Sueldo Anual Complementario (SAC) también llamado aguinaldo.Según la ley 27.073 el límite para que las empresas paguen la segunda cuota del aguinaldo, es el 18 de diciembre. Después de esa fecha el empleador infringe la norma.El aguinaldo se calcula sobre el 50 % de la mayor remuneración mensual obtenida por el trabajador dentro de los semestres que terminan en los meses de junio y diciembre de cada año.La segunda cuota del aguinaldo se obtiene del 50 % de la mayor remuneración obtenida dentro del semestre que empieza en julio y finaliza el 18 de diciembre.Las cámaras empresariales ya se quejaron por tener que pagar el aguinaldo y solicitaron al Gobierno una “ayuda” para abonarlos.La Cámara Argentina de Comercio (CAC) presentó el 3 de diciembre una nota ante el jefe de Gabinete, Santiago Cafiero, solicitando que se incluya al pago del aguinaldo en el programa de Asistencia al Trabajo y la Producción (ATP).Mario Grinman, presidente de la CAC, afirmó al diario Clarín que ""no hemos tenido respuesta"", y advirtió que ""hay empresas que lo van a poder pagar con normalidad. Son aquellas que nunca cerraron y que por sus características siempre siguen funcionando, como los supermercados. Pero el resto de los negocios van a tener enormes dificultades para abonarlo"".El empresario anticipó que el aguinaldo se pagará ""de manera cuotificada y pactada con sus empleados"".En el mismo sentido, Pedro Cascales, vocero de CAME, entidad que representa a las pequeñas y medianas empresas señaló que ""el tema del medio aguinaldo es muy preocupante"" y agregó que ""las ventas siguen bajas y el ATP se terminó o se convirtió en muchos casos en créditos. Así que hay mucha dificultad en estos momentos para conseguir dinero para pagar el medio aguinaldo. Lo ideal sería que el Estado lo compense con un ATP, al menos para las empresas que están en situación crítica"".Pagar el aguinaldo en cuotas no es nuevo. A mitad de año cuando se tenía que pagar la primera cuota del SAC según informó la Cámara de Comercio (CAC) y la Unión Industrial Argentina (UIA), el 78,8 % de los comercios y el 46 % de las industrias no lo pagaron en tiempo y forma.En esa ocasión el Gobierno Nacional dio luz verde a las patronales para que paguen el aguinaldo en cuotas cuando decidió pagar hasta en cuatro cuotas el SAC de los trabajadores estatales que tuvieran un salario bruto de $ 80.000.  El mismo camino siguieron las administraciones provinciales.Las patronales buscan descargar la crisis sobre las espaldas de los trabajadores. El poder adquisitivo de los salarios acumula varios años de pérdida. Es urgente un salario mínimo equivalente a la canasta de consumos mínimos estimada en $ 76.500 por la Junta Interna de Ate Indec, y la actualización automática de salarios en función de la inflación.Te puede interesar: Aguinaldo: ¿otra vez el salario es la variable de ajuste?",https://www.laizquierdadiario.com/Economia/Quejas-patronales-por-el-pago-del-aguinaldo
9,"
Jueves 17 de diciembre","Negocio para bonistas, ajuste para trabajadores","En conferencia de prensa informó que el 95% de los bonistas aceptaron la oferta. Extenderían los vencimientos de los BOCADE hasta el 2030 con una tasa de interés del 7,75%. Mientras congelan los salarios estales y no se sabe cuando se cobra el aguinaldo.",Arcioni anunció la reestructuración de parte de la deuda externa de Chubut,"No hubo ""grieta"" para el acuerdo. Recibió el apoyo de los bloques de Maderna y el PJ, por lo que todo el arco del Frente de Todos en la provincia cerró filas detras de las negociaciones del ejecutivo. Algo similar a lo ocurrido a nivel nacional con los acuerdos establecidos por el ministro Guzman, rubricados tanto por el oficialismo como la oposición cambiemita.Te puede interesar: El extractivismo en Chubut: ¿el saqueo como modelo en Argentina?De hecho en la conferencia de prensa Arcioni agradeció el acompñamiento y asesoramiento del Ministerio de Economía nacional, encabezado por Guzmán, y de la presidencia de la Cámara de Diputados de la Nación, encabezada por Sergio Massa, a quien responde nacionalmente el gobernador.El ""reperfilamiento"" se refiere a los bonos BOCADE 2016-2026 (Bonos de Cancelación de Deuda) que habían sido emitidos por el gobierno de Das Neves, y cuentan con garantía de las regalías hidrocarburíferas.El acuerdo va en sintonía con el proyecto de presupuesto que envió el ejecutivo a la legislatura, donde se achican todos los gastos públicos - sobre todo lo referente a salarios, jubilaciones, salud y educación - salvo el que será destinado al pago de intereses de deuda.El gobernador chubutense realizó esta semana varios anuncios, donde hubo ganadores y perdedores. Basta mirar los números para comparar: los bonistas extranjeros recibirán una tasa anual del 7,24% por sus bonos (entre 7 y 8 veces más de lo que paga EEUU, por ejemplo) mientras que los trabajadores provinciales - que perdieron entre un 36 y un 40% de su salario real - recibieron un congelamiento salarial por 180 días.También anunció que el 22 de diciembre anunciaría cuando se pagarían los aguinaldos de junio que aun se adeudan. Tanto para los casos de los salarios como de los aguinaldos adeudados -prestamos involuntarios de los trabajadores al Estado provincial - no hay ni ajuste por inflación ni pago de intereses por deuda.El acuerdo fue anunciado como un triunfo por el gobierno y los medios oficiales, ya que le permitiría cierto ""equilibrio fiscal"" para los años 2021, 2022 y 2023, pero pasando esos mismos vencimientos para los años siguientes. En este sentido también se parece a los acuerdos realizados por el ministro Guzmán con los bonistas extranjeros: patear para adelante los pagos, a cambio de jugosos rendimientos.Los beneficios del futuro chubutense no serían sólo para las megamineras, sino también para los bonistas. Salvo que el pueblo trabajador frene el ajuste y el proyecto extractivista en las calles, y logre que la riqueza de Chubut sea para los chubutenses.Te puede interesar: El pueblo de Chubut continúa movilizado contra la megaminería",https://www.laizquierdadiario.com/Economia/Arcioni-anuncio-la-reestructuracion-de-parte-de-la-deuda-externa-de-Chubut
